	frequency
unidentifiable	39996
M35648|IGHD2-2*03|Homo	6776
J00233|IGHD2-8*02|Homo	3382
X97051|IGHD3-16*02|Homo	3377
X93618|IGHD3-3*02|Homo	3374
X97051|IGHD2-21*02|Homo	3244
X93614|IGHD3-16*01|Homo	3243
J00234|IGHD2-15*01|Homo	3239
X13972|IGHD3-9*01|Homo	3221
X93616|IGHD3-22*01|Homo	3201
X13972|IGHD2-8*01|Homo	3185
X13972|IGHD3-10*01|Homo	3132
X93615|IGHD3-10*02|Homo	3118
J00235|IGHD2-21*01|Homo	3086
X13972|IGHD3-3*01|Homo	3013
X97051|IGHD2-2*02|Homo	2646
X13972|IGHD5-12*01|Homo	2119
X13972|IGHD5-5*01|Homo	1179
X97051|IGHD6-19*01|Homo	1121
X13972|IGHD6-13*01|Homo	1033
X97051|IGHD1-26*01|Homo	548
J00232|IGHD2-2*01|Homo	317
X13972|IGHD6-6*01|Homo	112
X55580|IGHD3/OR15-3b*01|Homo	98
X97051|IGHD6-25*01|Homo	55
X55584|IGHD5/OR15-5b*01|Homo	44
X97051|IGHD1-1*01|Homo	20
X97051|IGHD1-20*01|Homo	17
X97051|IGHD4-17*01|Homo	10
X13972|IGHD1-7*01|Homo	9
X13972|IGHD4-4*01|Homo	4
X55578|IGHD2/OR15-2b*01|Homo	2
X55576|IGHD1/OR15-1b*01|Homo	2
